,PACSY_PDB,PCASY_BMRB
1353,2LFH,17753
1354,2M30,7376
1355,2M99,19287
1356,5KES,30102
1357,2M45,18986
1358,2LJ6,17283
1359,1X5K,11111
1360,2LM2,18096
1361,2KRF,16636
1362,2K52,15821
1363,2M5H,18548
1364,2MPC,19875
1365,5JTK,30079
1366,2N0Y,25540
1367,1WJV,11309
1368,2LF7,17741
1369,2L55,17266
1370,2LKZ,18017
1371,2EDB,11099
1372,2CSQ,11184
1373,2E19,10297
1374,2K7D,15623
1375,5IE8,26725
1376,2ML1,15716
1377,2DT6,11364
1378,2KT8,16688
1379,2LMP,18129
1380,2M70,19167
1381,2RTU,11532
1382,1X5X,11290
1383,2M47,18989
1384,2M09,18802
1385,2MNY,19913
1386,1WGG,11256
1387,2DMQ,10293
1388,2KES,16156
1389,2NA9,25932
1390,2N4Q,25677
1391,2DJ1,11101
1392,2LXD,16779
1393,2RU5,11548
1394,2KYY,16991
1395,2LDU,17683
1396,2L4S,17254
1397,2RVA,11592
1398,2MS4,25104
1399,2KXV,16929
1400,1V5Q,10109
1401,2MPZ,25004
1402,2DA7,10289
1403,2LD4,17646
1404,2E29,10213
1405,2CT6,11320
1406,2LHF,17842
1407,2LMQ,18131
1408,2MME,18651
1409,2RRU,11443
1410,2M6P,19149
1411,2RSD,11469
1412,2N1F,26550
1413,2DL3,11219
1414,2LR8,18352
1415,2KM4,16411
1416,2K0M,15652
1417,2LLH,18048
1418,2LMQ,18131
1419,2MA7,19331
1420,2JQN,15281
1421,2LTP,18492
1422,2E5K,10337
1423,2LSE,18429
1424,2MWH,25324
1425,2MPZ,25004
1426,2MYN,17076
1427,2MJZ,19747
1428,2KIM,16283
1429,2LQR,15512
1430,2MYW,25460
1431,5KK3,30121
1432,2CT0,11315
1433,2DI7,10333
1434,2LMO,18128
1435,2KI8,16267
1436,2EGA,11193
1437,2M0Q,18817
1438,2EE0,10268
1439,2LUX,18545
1440,2M6N,19147
1441,2BGO,6475
1442,2YUL,11158
1443,2L9Q,17482
1444,2N1F,26550
1445,2ME2,19513
1446,2KV4,16768
1447,2L1E,17082
1448,2MME,18651
1449,1X5Q,11207
1450,2MH3,19614
1451,2D7Q,10332
1452,2KAX,16033
1453,2MJZ,19747
1454,2KH9,16230
1455,2DAJ,11272
1456,2RV4,11484
1457,2LMN,18127
1458,2LP0,17407
1459,2KHD,16238
1460,2DHZ,11277
1461,2LMP,18129
1462,2MME,18651
1463,2L5T,17284
1464,2DL9,11223
1465,2M30,7376
1466,2KAX,16033
1467,2YUR,11159
1468,2JWN,15528
1469,2LNS,18178
1470,2LQJ,18316
1471,2N88,25837
1472,2DA0,10313
1473,2MME,18651
1474,1X1G,10251
1475,5JTP,30084
1476,2LMP,18129
1477,2L6B,17306
1478,2LNV,18181
1479,2LMP,18129
1480,1YX4,6233
1481,2JS5,15354
1482,2LHR,17862
1483,2JO6,15139
1484,2M9K,19298
1485,1WXT,11284
1486,2DAV,11212
1487,2RRK,11422
1488,2N3S,25656
1489,2MHH,19633
1490,2MYU,25243
1491,2M5A,19043
1492,2HDM,15110
1493,2LN3,18145
1494,2DLS,11195
1495,2DME,11334
1496,2KZY,17023
1497,1WIR,11308
1498,2D86,11141
1499,2K0D,15645
1500,2KZC,17002
1501,2M0R,18818
1502,2MME,18651
1503,2L4W,17257
1504,5JTP,30084
1505,2LMN,18127
1506,2LEQ,17723
1507,2KHE,11042
1508,2KRR,16646
1509,1X5A,11117
1510,1N27,10123
1511,2L8X,17430
1512,2KE1,16510
1513,2M1C,18856
1514,2LTD,18469
1515,2K1E,15677
1516,2WCY,15996
1517,2LLY,18093
1518,5JTO,30083
1519,2LZL,18763
1520,2KKY,16375
1521,2LUX,18545
1522,2MK9,19764
1523,2LNM,18171
1524,2ME1,19512
1525,2YRH,11238
1526,2LMQ,18131
1527,2DAM,11274
1528,2LZ4,18648
1529,2N4F,16029
1530,2L8R,17421
1531,1X4Y,11128
1532,2D8H,11213
1533,2KKX,16374
1534,2M3L,18967
1535,2LCR,17628
1536,1UL7,10025
1537,2EPQ,11378
1538,2YSM,11237
1539,2MI8,19670
1540,2N7H,25334
1541,2D7P,10331
1542,2KZW,17021
1543,2LVI,18571
1544,2K8E,15943
1545,2N49,15843
1546,2Z4F,15315
1547,2JX8,15550
1548,2RSC,11468
1549,2MB9,19392
1550,2LEN,17260
1551,2LRV,18283
1552,2L2D,17132
1553,2MJZ,19747
1554,2LME,18108
1555,2DKP,10317
1556,2LRN,18387
1557,2N3Z,25662
1558,2K0L,15651
1559,2EE2,10270
1560,2M2V,18935
1561,2E7C,11235
1562,2KOM,16520
1563,2KJP,16335
1564,1J26,10121
1565,2EA6,11336
1566,2N1N,25568
1567,2KCT,16096
1568,2LMO,18128
1569,2LWL,18634
1570,2LMP,18129
1571,2LTD,18469
1572,2KUE,16733
1573,5IM8,30031
1574,2MG4,19585
1575,2MPE,19042
1576,2KQM,16606
1577,2MJZ,19747
1578,2KQN,16607
1579,1WKI,6255
1580,2MOG,19942
1581,2ME8,19520
1582,2YUK,11160
1583,4ASW,18342
1584,2LQQ,18325
1585,2MI7,19668
1586,5JTR,30086
1587,1Y4O,6396
1588,2JOZ,15211
1589,2LN7,18152
1590,2M3W,17857
1591,2KO8,16492
1592,2LMN,18127
1593,2L7Q,17370
1594,2MSV,25135
1595,1VDI,10012
1596,2JXU,15574
1597,2L02,17026
1598,2L57,17267
1599,2N1F,26550
1600,2JSZ,15797
1601,2M6U,19155
1602,2MUR,25230
1603,2RS8,11458
1604,2KXD,17089
1605,2LZ3,18649
1606,2LRQ,18390
1607,2L0D,17039
1608,2N73,25791
1609,2KRS,16647
1610,2RT3,11523
1611,2KN6,15313
1612,2MA5,19328
1613,2MP2,19961
1614,2N8G,25849
1615,2JSO,15371
1616,2YUA,11144
1617,2K3D,15750
1618,2K02,15634
1619,2LHU,17867
1620,2K04,15636
1621,2KO1,16486
1622,2DML,11100
1623,2MA3,19187
1624,2LY5,16215
1625,1WES,11352
1626,2M5O,19068
1627,2MPB,19974
1628,2KJR,16338
1629,2K57,15825
1630,2M08,18801
1631,2LEO,17719
1632,2RU8,11549
1633,2DJV,10261
1634,2KW8,16811
1635,2N13,25545
1636,2KMS,16439
1637,2DAL,11273
1638,2MJZ,19747
1639,2DN7,10263
1640,2LWE,18623
1641,2DK7,11357
1642,2LEP,17720
1643,1X5C,11114
1644,2M4J,19009
1645,5T17,30157
1646,5KK3,30121
1647,2MXU,25429
1648,2KY9,16942
1649,2M3S,18976
1650,2KD7,16107
1651,2LC3,17594
1652,2COT,11205
1653,2M1W,18882
1654,2MK5,19752
1655,2MHV,19657
1656,2MEU,19532
1657,2MA6,19329
1658,2LKI,17995
1659,2M0C,18805
1660,2MJD,19717
1661,2NA8,25931
1662,2KYB,16944
1663,2JPU,15265
1664,2DIC,10322
1665,2COO,11240
1666,2N0Z,25541
1667,2COC,10254
1668,2KQY,16617
1669,2N1F,26550
1670,2KL1,16378
1671,2RO5,11034
1672,2RS7,11457
1673,2LT7,18462
1674,5JTQ,30085
1675,2LMO,18128
1676,2LV4,18553
1677,2RVB,11594
1678,2LMQ,18131
1679,2KUF,16734
1680,2EBK,11337
1681,2MUX,19111
1682,2EP1,11169
1683,2LZF,18753
1684,2KFL,16183
1685,2DL8,11225
1686,2M5F,19052
1687,1X5M,11203
1688,2MXU,25429
1689,1WLN,11246
1690,2LHH,17849
1691,2MWQ,25350
1692,2LQC,18302
1693,2KO6,16490
1694,1J5H,5343
1695,2JS5,15354
1696,2LCI,17613
1697,2KEE,16145
1698,2ECW,11161
1699,2JPQ,15258
1700,2OSR,7382
1701,2KKO,16368
1702,2RTT,11531
1703,2LCE,17609
1704,2KT4,16682
1705,2MK9,19764
1706,2JTY,15423
1707,5I8N,30017
1708,2LMG,18115
1709,2M3M,17942
1710,2KLY,16404
1711,2KSL,16667
1712,2LNS,18178
1713,2MOX,19955
1714,2MXY,25436
1715,2LKP,18003
1716,1WGH,11257
1717,2L3F,17191
1718,5LCI,34013
1719,2LMQ,18131
1720,2K78,15913
1721,2MME,18651
1722,2M4J,19009
1723,2MXU,25429
1724,2ELL,11083
1725,2K6V,15893
1726,2LPC,18250
1727,2K73,15966
1728,2M6O,19148
1729,2KUT,16746
1730,1WY8,11266
1731,2LNZ,18186
1732,2M59,19041
1733,2K1E,15677
1734,2LIY,11452
1735,2MCF,19438
1736,5JTM,30081
1737,2L9S,17485
1738,2LVK,18573
1739,2LB6,17447
1740,2M8L,19261
1741,1VA9,10128
1742,2N4P,25675
1743,2KDP,16127
1744,2N1F,26550
1745,2KGS,16237
1746,2MPZ,25004
1747,2ME9,19521
1748,2JNZ,15134
1749,2CSP,11183
1750,2YUB,11248
1751,2MEX,18276
1752,2L8Y,17431
1753,2KJF,16319
1754,2DI8,10334
1755,2M97,19285
1756,1WHU,10127
1757,2E7H,11227
1758,1WH1,11201
1759,2DIB,10321
1760,2LC6,17599
1761,2L9U,17488
1762,2L9B,17161
1763,2N1F,26550
1764,2MRJ,25081
1765,2MJZ,19747
1766,2JZ5,15608
1767,5L85,34007
1768,2MME,18651
1769,2DMZ,11190
1770,2LW4,18605
1771,2MA0,16864
1772,1WYR,11129
1773,2KVO,16782
1774,2DII,11298
1775,2K4Y,15812
1776,1X5L,11208
1777,2M8I,19258
1778,2LLK,18051
1779,2LQ6,18296
1780,5KK3,30121
1781,2LLF,18046
1782,2JTV,15419
1783,2DJB,11332
1784,2NBA,25969
1785,2LE1,17688
1786,2LXY,18703
1787,2L4J,17241
1788,2K9Z,16006
1789,2RRI,11420
1790,2MXX,25435
1791,2MME,18651
1792,1WX8,11262
1793,2EKJ,10274
1794,2JS3,15352
1795,2MPZ,25004
1796,1X4L,11350
1797,2KZ9,17000
1798,2MMO,16147
1799,2DHI,10314
1800,2KPH,15601
1801,2KWL,16856
1802,2N59,25700
1803,2RVJ,11601
1804,2MW4,25298
1805,2KOL,16519
1806,2DZJ,11280
1807,2MLM,19826
1808,2MC6,19429
1809,2MPZ,25004
1810,2LXH,18677
1811,2LKN,18001
1812,2LGR,15593
1813,2KYC,16945
1814,2RV2,11482
1815,2KCW,16098
1816,2KDL,16116
1817,2K42,16824
1818,2RNE,11370
1819,2RV0,11480
1820,1WF9,10130
1821,2LWX,17685
1822,1X1M,11268
1823,2KC9,16066
1824,1X6B,10241
1825,2EE4,10144
1826,2KGK,16822
1827,2LRL,18379
1828,2MQ8,25018
1829,2LME,18108
1830,2KFB,16173
1831,2KL7,16386
1832,2EGC,11194
1833,2KGT,16219
1834,2LGI,17810
1835,2KVB,16773
1836,2DL4,11217
1837,2N81,25830
1838,2LZJ,18758
